lfdn;tag;converted
1482.0;Unclear business needs;Lack of common understanding about goals
1482.0;Communication flaws between team and customer;Communication problems
1483.0;Missing engagement by customer;Lack of engagement
1483.0;Unclear business needs;Lack of common understanding about goals
1483.0;Missing willingless to change;Human factors
1483.0;Conflict of interests at management level;Lack of common understanding about goals
1484.0;Unclear terminology;Communication problems
1484.0;Lack of communication channels;Lack of communication channels
1485.0;Missing access to business needs;Lack of knowledge
1485.0;Unclear terminology;Communication problems
1486.0;Documentation overhead;Process execution defects
1486.0;Missing documentation;Process execution defects
1486.0;Volatile industry segment that leads to changes;Changing project characteristics
1486.0;Poor project management;Lack of management
1526.0;Missing domain knowledge;Lack of knowledge
1526.0;Gold plating;Process execution defects
1526.0;Missing domain knowledge;Lack of knowledge
1526.0;Missing domain knowledge;Lack of knowledge
1526.0;Missing domain knowledge;Lack of knowledge
1542.0;Communication flaws between team and customer;Communication problems
1542.0;Lack of time;Lack of management
1542.0;Lack of communication channels;Lack of communication channels
1542.0;Lack of communication channels;Lack of communication channels
1560.0;Weak qualification of RE team members;Lack of knowledge
1560.0;Lack of experience of RE team members;Lack of knowledge
1560.0;Missing willingless to change;Human factors
1560.0;Requirements remain too abstract;Process execution defects
1560.0;Lack of a well-defined RE process;Insufficient development process
1617.0;Requirements engineer has no influence on customer;Communication problems
1617.0;Poor requirements elicitation techniques;Insufficient development process
1617.0;Conflict of interests at management level;Lack of common understanding about goals
1617.0;Too high team distribution;Lack of management
1617.0;Incomplete requirements;Lack of knowledge
1618.0;Insufficient analysis at the beginning of the project;Process execution defects
1618.0;Missing solution approach;Insufficient development process
1618.0;High quality expectation of customer;Lack of common understanding about goals
1620.0;Too high team distribution;Lack of management
1620.0;Gold plating;Process execution defects
1620.0;Lack of project management;Lack of management
1620.0;Poor project management;Lack of management
1620.0;Requirements remain too abstract;Process execution defects
1621.0;Solution orientation;Insufficient development process
1621.0;Weak management at customer side;Lack of management
1621.0;Lack of a well-defined RE process;Insufficient development process
1621.0;Lack of a well-defined RE process;Insufficient development process
1624.0;Missing RE awareness at team side;Lack of RE awareness
1624.0;Customer does not formally approve the requirements;Process execution defects
1624.0;Poor project management;Lack of management
1624.0;Lack of change management at customer side;Lack of management
1624.0;Lack of requirements management;Lack of management
1650.0;Lack of teamwork skills;Lack of knowledge
1650.0;Insufficient information;Lack of knowledge
1650.0;Not following the communication plan;Process execution defects
1650.0;Communication flaws between team and customer;Communication problems
1650.0;Communication flaws between team and customer;Communication problems
1651.0;Lack of a well-defined RE process;Insufficient development process
1651.0;Insufficient information;Lack of knowledge
1651.0;Complexity of project;High complexity of projects
1651.0;Missing concentration on business needs;Lack of involvement within the team
1663.0;Lack of experience of RE team members;Lack of knowledge
1663.0;Language barriers;Communication problems
1663.0;Poor project management;Lack of management
1663.0;Missing domain knowledge;Lack of knowledge
1668.0;Complexity of project;High complexity of projects
1668.0;Complexity of RE;High complexity of projects
1668.0;Many customers;Lack of management
1668.0;Poor requirements elicitation techniques;Insufficient development process
1668.0;Complexity of project;High complexity of projects
1669.0;Conflict of interests at customer side;Lack of common understanding about goals
1669.0;Missing completeness check of requirements;Process execution defects
1669.0;Poor requirements elicitation techniques;Insufficient development process
1669.0;Communication flaws between team and customer;Communication problems
1669.0;Missing customer involvement;Lack of involvement from the customer
1670.0;Complexity of project;High complexity of projects
1670.0;Complexity of RE;High complexity of projects
1670.0;Many customers;Lack of management
1670.0;Poor requirements elicitation techniques;Insufficient development process
1670.0;Complexity of project;High complexity of projects
1675.0;Workload of customer;Lack of involvement from the customer
1675.0;Conflicts of personalities;Human factors
1675.0;Miscommunication between RE team;Communication problems
1675.0;Insufficient analysis at the beginning of the project;Process execution defects
1675.0;Changing business needs;Moving targets
1676.0;Inability to specify measurable non-functional requirements;Lack of knowledge
1676.0;Poor project management;Lack of management
1676.0;Insufficient planning of RE;Process execution defects
1676.0;Changing business needs;Moving targets
1676.0;Insufficient analysis at the beginning of the project;Process execution defects
1690.0;Customer does not know what he wants;Lack of knowledge
1690.0;Lack of change management at customer side;Lack of management
1690.0;Poor project management;Lack of management
1690.0;Missing customer involvement;Lack of involvement from the customer
1695.0;Insufficient agility;Lack of common understanding about goals
1695.0;Missing RE awareness at customer side;Lack of RE awareness
1695.0;Lack of communication channels;Lack of communication channels
1695.0;Complexity of project;High complexity of projects
1695.0;Poor requirements elicitation techniques;Insufficient development process
1697.0;Insufficient resource plan;Lack of management
1697.0;Poor project management;Lack of management
1697.0;Lack of a well-defined RE process;Insufficient development process
1697.0;Requirements remain too abstract;Process execution defects
1698.0;Miscommunication between RE team;Communication problems
1698.0;Lack of leadership;Lack of management
1698.0;Unfeasible requirements;Process execution defects
1698.0;Poor requirements elicitation techniques;Insufficient development process
1698.0;Insufficient information;Lack of knowledge
1699.0;Poor requirements elicitation techniques;Insufficient development process
1703.0;Unfeasible requirements;Process execution defects
1703.0;Unexpected changes in requirements;Moving targets
1703.0;Volatile requirements;Moving targets
1703.0;Missing knowledge transfer;Lack of knowledge
1703.0;Insufficient collaboration in process;Process execution defects
1705.0;Unexpected changes in requirements;Moving targets
1705.0;Customer does not know what he wants;Lack of knowledge
1705.0;Missing domain knowledge;Lack of knowledge
1705.0;Poor requirements elicitation techniques;Insufficient development process
1705.0;Requirements remain too abstract;Process execution defects
1717.0;Unfeasible requirements;Process execution defects
1717.0;Poor project management;Lack of management
1717.0;Missing customer involvement;Lack of involvement from the customer
1717.0;Lack of a well-defined RE process;Insufficient development process
1717.0;Insufficient information;Lack of knowledge
1718.0;Missing customer involvement;Lack of involvement from the customer
1718.0;Poor requirements elicitation techniques;Insufficient development process
1718.0;Lack of requirements management;Lack of management
1718.0;Missing tool support;Insufficient development process
1718.0;Poor requirements elicitation techniques;Insufficient development process
1723.0;Communication flaws between team and customer;Communication problems
1723.0;Lack of experience of RE team members;Lack of knowledge
1723.0;Poor project management;Lack of management
1727.0;Insufficient resources;Lack of management
1727.0;Communication flaws between team and customer;Communication problems
1727.0;Lack of training;Lack of knowledge
1727.0;Requirements remain too abstract;Process execution defects
1727.0;Insufficient resources;Lack of management
1741.0;Poor requirements elicitation techniques;Insufficient development process
1741.0;Volatile requirements;Moving targets
1741.0;Missing knowledge transfer;Lack of knowledge
1741.0;Volatile industry segment that leads to changes;Changing project characteristics
1741.0;Missing domain knowledge;Lack of knowledge
1742.0;Communication flaws between team and customer;Communication problems
1742.0;Communication flaws between team and customer;Communication problems
1742.0;Lack of requirements management;Lack of management
1742.0;Communication flaws between team and customer;Communication problems
1742.0;Lack of change management at customer side;Lack of management
1744.0;Poor project management;Lack of management
1744.0;Unfeasible requirements;Process execution defects
1744.0;Communication flaws between team and customer;Communication problems
1751.0;Lack of time;Lack of management
1751.0;Poor requirements elicitation techniques;Insufficient development process
1753.0;Customer does not know what he wants;Lack of knowledge
1753.0;Changing business needs;Moving targets
1753.0;Missing technical knowledge;Lack of knowledge
1753.0;Missing domain knowledge;Lack of knowledge
1753.0;Lack of time;Lack of management
1755.0;Lack of requirements management;Lack of management
1755.0;Lack of time;Lack of management
1755.0;Customer does not know what he wants;Lack of knowledge
1755.0;Subjective interpretations;Human factors
1755.0;Missing tool support;Insufficient development process
1756.0;Missing domain knowledge;Lack of knowledge
1756.0;Lack of teamwork skills;Lack of knowledge
1756.0;Missing willingless to change;Human factors
1756.0;Poor requirements elicitation techniques;Insufficient development process
1759.0;Lack of a well-defined RE process;Insufficient development process
1759.0;Lack of a well-defined RE process;Insufficient development process
1759.0;Complexity of project;High complexity of projects
1759.0;Complexity of domain;High complexity of projects
1759.0;Requirements remain too abstract;Process execution defects
1761.0;Unclear business needs;Lack of common understanding about goals
1761.0;Lack of time;Lack of management
1761.0;Lack of a well-defined RE process;Insufficient development process
1761.0;Missing knowledge about development framework;Lack of knowledge
1762.0;Many customers;Lack of management
1762.0;Unexpected changes in requirements;Moving targets
1767.0;Subjective interpretations;Human factors
1767.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
1804.0;Poor requirements elicitation techniques;Insufficient development process
1804.0;Missing tool support;Insufficient development process
1804.0;Missing tool support;Insufficient development process
1804.0;Insufficient collaboration in process;Process execution defects
1804.0;Communication flaws between team and customer;Communication problems
1805.0;Missing domain knowledge;Lack of knowledge
1805.0;Unclear project scope;Lack of management
1805.0;Lack of requirements management;Lack of management
1805.0;Missing RE awareness at customer side;Lack of RE awareness
1805.0;Lack of a well-defined RE process;Insufficient development process
1810.0;Different skill levels;Lack of knowledge
1810.0;Stakeholder fluctuation;Changing project characteristics
1810.0;Unclear project scope;Lack of management
1810.0;Team fluctuation;Changing project characteristics
1810.0;Lack of communication channels;Lack of communication channels
1812.0;Missing customer involvement;Lack of involvement from the customer
1812.0;Conflicting stakeholder viewpoints;Lack of common understanding about goals
1812.0;Missing prioritization by customer;Process execution defects
1812.0;Missing requirements specification template;Process execution defects
1812.0;Customer does not know what he wants;Lack of knowledge
1820.0;Lack of teamwork skills;Lack of knowledge
1820.0;Communication flaws between team and customer;Communication problems
1820.0;Missing tool support;Insufficient development process
1820.0;Lack of project management;Lack of management
1820.0;Missing requirements specification template;Process execution defects
1828.0;Communication flaws between team and customer;Communication problems
1828.0;Miscommunication between RE team;Communication problems
1828.0;Missing technical knowledge;Lack of knowledge
1828.0;Missing engagement by customer;Lack of engagement
1828.0;Weak qualification of RE team members;Lack of knowledge
1831.0;Communication flaws between team and customer;Communication problems
1831.0;Lack of a well-defined RE process;Insufficient development process
1840.0;Miscommunication between RE team;Communication problems
1840.0;Communication flaws between team and customer;Communication problems
1840.0;Missing RE awareness at customer side;Lack of RE awareness
1840.0;Volatile industry segment that leads to changes;Changing project characteristics
1840.0;Lack of time;Lack of management
1842.0;Lack of experience of RE team members;Lack of knowledge
1842.0;Inability to specify measurable non-functional requirements;Lack of knowledge
1842.0;Many customers;Lack of management
1842.0;Insufficient collaboration in process;Process execution defects
1842.0;Lack of time;Lack of management
1844.0;Lack of time;Lack of management
1844.0;Lack of time;Lack of management
1844.0;Workload of customer;Lack of involvement from the customer
1844.0;Communication flaws between team and customer;Communication problems
1844.0;Lack of time;Lack of management
1849.0;Poor requirements elicitation techniques;Insufficient development process
1849.0;Poor project management;Lack of management
1849.0;Poor requirements elicitation techniques;Insufficient development process
1849.0;Missing customer involvement;Lack of involvement from the customer
1849.0;Weak qualification of RE team members;Lack of knowledge
1894.0;Weak qualification of RE team members;Lack of knowledge
1894.0;Lack of project management;Lack of management
1894.0;Conflicting stakeholder viewpoints;Lack of common understanding about goals
1894.0;Strict time schedule by customer;Lack of management
1896.0;Requirements remain too abstract;Process execution defects
1896.0;Missing technical knowledge;Lack of knowledge
1896.0;Unclear business needs;Lack of common understanding about goals
1896.0;Missing IT project experience at customer side;Lack of knowledge
1896.0;Lack of a well-defined RE process;Insufficient development process
1909.0;Poor project management;Lack of management
1909.0;Lack of experience of RE team members;Lack of knowledge
1909.0;Missing methodology;Insufficient development process
1909.0;Insufficient planning of RE;Process execution defects
1909.0;Lack of requirements management;Lack of management
1911.0;Missing domain knowledge;Lack of knowledge
1911.0;Unfeasible requirements;Process execution defects
1911.0;Missing solution approach;Insufficient development process
1911.0;Customer does not know what he wants;Lack of knowledge
1911.0;Missing documentation;Process execution defects
1917.0;Poor project management;Lack of management
1917.0;Lack of a well-defined RE process;Insufficient development process
1917.0;Conflict of personalities;Human factors
1917.0;Lack of experience of RE team members;Lack of knowledge
1917.0;Missing documentation;Process execution defects
1918.0;Weak qualification of RE team members;Lack of knowledge
1918.0;Insufficient analysis at the beginning of the project;Process execution defects
1918.0;Volatile industry segment that leads to changes;Changing project characteristics
1918.0;Missing of a global view of the system;Lack of knowledge
1918.0;Insufficient resource plan;Lack of management
1923.0;Too high team distribution;Lack of management
1923.0;Lack of training;Lack of knowledge
1923.0;Missing prioritization by customer;Process execution defects
1923.0;Insufficient analysis at the beginning of the project;Process execution defects
1923.0;Customer does not formally approve the requirements;Process execution defects
1929.0;Insufficient resources;Lack of management
1932.0;Lack of experience of RE team members;Lack of knowledge
1932.0;Missing customer involvement;Lack of involvement from the customer
1932.0;Inappropriate definition of contract;Lack of management
1933.0;Complexity of domain;High complexity of projects
1933.0;Missing knowledge about development framework;Lack of knowledge
1933.0;Complexity of project;High complexity of projects
1933.0;Missing tool support;Insufficient development process
1933.0;Thinking in legacy systems;Lack of common understanding about goals
1941.0;Lack of time;Lack of management
1941.0;Lack of time;Lack of management
1941.0;Unclear terminology;Communication problems
1941.0;High workload;Lack of management
1941.0;Lack of time;Lack of management
1957.0;Unclear terminology;Communication problems
1961.0;Missing domain knowledge;Lack of knowledge
1961.0;Lack of time;Lack of management
1961.0;Communication flaws between team and customer;Communication problems
1961.0;Miscommunication between RE team;Communication problems
1961.0;Missing domain knowledge;Lack of knowledge
1962.0;Insufficient resources;Lack of management
1962.0;Missing domain knowledge;Lack of knowledge
1962.0;Incomplete requirements;Lack of knowledge
1962.0;Requirements remain too abstract;Process execution defects
1962.0;Process doesn't allow for innovation;Insufficient development process
1965.0;Volatile industry segment that leads to changes;Changing project characteristics
1965.0;Poor project management;Lack of management
1965.0;Poor project management;Lack of management
1965.0;High quality expectation of customer;Lack of common understanding about goals
1969.0;Missing of a global view of the system;Lack of knowledge
1969.0;Lack of experience of RE team members;Lack of knowledge
1969.0;Missing prioritization by customer;Process execution defects
1969.0;Poor project management;Lack of management
1969.0;Lack of creativity;Lack of creativity
